Loading (p.u.),Name,Bus1,Bus2
1.0064375725924712,Line.l(r:p17udm7350-p17udt1725lv),p17udt1725lv.1.2,p17udm7350.1.2
1.013469774892883,Line.l(r:p17udt3255lv-p17ulv12656),p17udt3255lv.1.2,p17ulv12656.1.2
1.0892684327661886,Line.l(r:p17udm17003-p17ulv15958),p17udm17003.1.2,p17ulv15958.1.2
1.1332817105166337,Line.l(r:p17udm47007-p17udt12379lv),p17udt12379lv.1.2,p17udm47007.1.2
1.1332817296800501,Line.l(r:p17udm47007-p17ulv46921),p17udm47007.1.2,p17ulv46921.1.2
1.1472509433866618,Line.l(r:p17udm45228-p17udm45231),p17udm45231.1.2,p17udm45228.1.2
1.1500217872808358,Line.l(r:p17udm30957-p17ulv30147),p17udm30957.1.2,p17ulv30147.1.2
1.1525769289310976,Line.l(r:p17udt14878lv-p17ulv56400),p17udt14878lv.1.2,p17ulv56400.1.2
1.1739683108152277,Line.l(r:p17udt14635lv-p17ulv55668),p17udt14635lv.1.2,p17ulv55668.1.2
1.206271001050146,Line.l(r:p17udt14344lv-p17ulv54558),p17udt14344lv.1.2,p17ulv54558.1.2
1.2125291543061871,Line.l(r:p17udm54241-p17udt14337lv),p17udt14337lv.1.2,p17udm54241.1.2
1.212529217626011,Line.l(r:p17udm54241-p17ulv54543),p17udm54241.1.2,p17ulv54543.1.2
1.2246523483564997,Line.l(r:p17udm30655-p17ulv30011),p17udm30655.1.2,p17ulv30011.1.2
1.24756044564137,Line.l(r:p17udm45077-p17udt11904lv),p17udt11904lv.1.2,p17udm45077.1.2
1.3127801090736673,Line.l(r:p17udt3351lv-p17ulv12879),p17udt3351lv.1.2,p17ulv12879.1.2
1.4009262106853995,Line.l(r:p17udm45231-p17udt11936lv),p17udt11936lv.1.2,p17udm45231.1.2
1.5350992997403303,Line.l(r:p17udt14863lv-p17ulv56176),p17udt14863lv.1.2,p17ulv56176.1.2
1.571753183613993,Line.l(r:p17udm13331-p17udt3259lv),p17udt3259lv.1.2,p17udm13331.1.2
1.6568766066220695,Line.l(r:p17udm14991-p17ulv14083),p17udm14991.1.2,p17ulv14083.1.2
1.709276870051211,Line.l(r:p17udm13331-p17ulv12852),p17udm13331.1.2,p17ulv12852.1.2
1.72114584799779,Line.l(r:p17udm46961-p17udt12366lv),p17udt12366lv.1.2,p17udm46961.1.2
1.769866027717672,Line.l(r:p17udm14991-p17ulv14048),p17udm14991.1.2,p17ulv14048.1.2
1.794687970304768,Line.l(r:p17udm14546-p17udt3557lv),p17udt3557lv.1.2,p17udm14546.1.2
1.7946880224517057,Line.l(r:p17udm14546-p17ulv45006),p17udm14546.1.2,p17ulv45006.1.2
1.8539255143448707,Line.l(r:p17udt7933lv-p17ulv30038),p17udt7933lv.1.2,p17ulv30038.1.2
1.8571353977636174,Line.l(r:p17udm46961-p17ulv48080),p17udm46961.1.2,p17ulv48080.1.2
1.8863590514601132,Line.l(r:p17udt11958lv-p17ulv45012),p17udt11958lv.1.2,p17ulv45012.1.2
1.8886495399964724,Line.l(r:p17udm47041-p17udt12386lv),p17udt12386lv.1.2,p17udm47041.1.2
1.9100737918143,Line.l(r:p17udt12437lv-p17ulv46964),p17udt12437lv.1.2,p17ulv46964.1.2
1.965773788804256,Line.l(r:p17udm47083-p17udt12400lv),p17udt12400lv.1.2,p17udm47083.1.2
1.9657737990174877,Line.l(r:p17udm47083-p17ulv46752),p17udm47083.1.2,p17ulv46752.1.2
1.9662667661503508,Line.l(r:p17udm47038-p17udm47041),p17udm47041.1.2,p17udm47038.1.2
1.9662673148104701,Line.l(r:p17udm47038-p17ulv46769),p17udm47038.1.2,p17ulv46769.1.2
1.9867451320968252,Line.l(r:p17udt11895lv-p17ulv44917),p17udt11895lv.1.2,p17ulv44917.1.2
2.0091033598758097,Line.l(r:p17udt4170lv-p17ulv15909),p17udt4170lv.1.2,p17ulv15909.1.2
2.0361395294738918,Line.l(r:p17udt5606lv-p17ulv29471),p17udt5606lv.1.2,p17ulv29471.1.2
2.0468156172976815,Line.l(r:p17udt12386lv-p17ulv46776),p17udt12386lv.1.2,p17ulv46776.1.2
2.050038609051467,Line.l(r:p17udm30957-p17udt8064lv),p17udt8064lv.1.2,p17udm30957.1.2
2.052837669732879,Line.l(r:p17udt4078lv-p17ulv15437),p17udt4078lv.1.2,p17ulv15437.1.2
2.1208329439053415,Line.l(r:p17udm30706-p17udt7978lv),p17udt7978lv.1.2,p17udm30706.1.2
2.1208331415168984,Line.l(r:p17udm30706-p17ulv29944),p17udm30706.1.2,p17ulv29944.1.2
2.1692812229384484,Line.l(r:p17udm30896-p17udt8045lv),p17udt8045lv.1.2,p17udm30896.1.2
2.3574223373946657,Line.l(r:p17udt4170lv-p17ulv16093),p17udt4170lv.1.2,p17ulv16093.1.2
2.395474099018292,Line.l(r:p17udt7975lv-p17ulv29690),p17udt7975lv.1.2,p17ulv29690.1.2
2.433192840281866,Line.l(r:p17udt4159lv-p17ulv16051),p17udt4159lv.1.2,p17ulv16051.1.2
2.435198034232248,Line.l(r:p17udt4164lv-p17ulv15784),p17udt4164lv.1.2,p17ulv15784.1.2
2.4548383047420503,Line.l(r:p17udm47106-p17udt12408lv),p17udt12408lv.1.2,p17udm47106.1.2
2.454838324142982,Line.l(r:p17udm47106-p17ulv46778),p17udm47106.1.2,p17ulv46778.1.2
2.5009422941731505,Line.l(r:p17udm30896-p17ulv30056),p17udm30896.1.2,p17ulv30056.1.2
2.526708886342766,Line.l(r:p17udt12414lv-p17ulv46794),p17udt12414lv.1.2,p17ulv46794.1.2
2.6577591124294897,Line.l(r:p17udm16505-p17udt4078lv),p17udt4078lv.1.2,p17udm16505.1.2
2.657759270428309,Line.l(r:p17udm16505-p17ulv15503),p17udm16505.1.2,p17ulv15503.1.2
2.688633505144602,Line.l(r:p17udm30589-p17udt7943lv),p17udt7943lv.1.2,p17udm30589.1.2
2.688633702451145,Line.l(r:p17udm30589-p17ulv29648),p17udm30589.1.2,p17ulv29648.1.2
2.6923674442885983,Line.l(r:p17udm55177-p17udt14666lv),p17udt14666lv.1.2,p17udm55177.1.2
2.6923678353491276,Line.l(r:p17udm55177-p17ulv55628),p17udm55177.1.2,p17ulv55628.1.2
2.6947533341718795,Line.l(r:p17udm13844-p17udt3384lv),p17udt3384lv.1.2,p17udm13844.1.2
2.6947534493433274,Line.l(r:p17udm13844-p17ulv12973),p17udm13844.1.2,p17ulv12973.1.2
2.701572125493931,Line.l(r:p17udm45053-p17udt11900lv),p17udt11900lv.1.2,p17udm45053.1.2
2.7015724523525377,Line.l(r:p17udm45053-p17ulv44922),p17udm45053.1.2,p17ulv44922.1.2
2.743759461944613,Line.l(r:p17udt14378lv-p17ulv54831),p17udt14378lv.1.2,p17ulv54831.1.2
2.7454463976434127,Line.l(r:p17udm21023-p17udt5423lv),p17udt5423lv.1.2,p17udm21023.1.2
2.7454468820454423,Line.l(r:p17udm21023-p17ulv20105),p17udm21023.1.2,p17ulv20105.1.2
2.7699669491153607,Line.l(r:p17udt12424lv-p17ulv46842),p17udt12424lv.1.2,p17ulv46842.1.2
2.7881175794238984,Line.l(r:p17udm54380-p17udt14378lv),p17udt14378lv.1.2,p17udm54380.1.2
2.7881175924459867,Line.l(r:p17udm54380-p17ulv54728),p17udm54380.1.2,p17ulv54728.1.2
2.828326072916875,Line.l(r:p17udt4159lv-p17ulv15768),p17udt4159lv.1.2,p17ulv15768.1.2
3.198256340026156,Line.l(r:p17udt8045lv-p17ulv55443),p17udt8045lv.1.2,p17ulv55443.1.2
3.381408692393115,Line.l(r:p17udm14991-p17udt3665lv),p17udt3665lv.1.2,p17udm14991.1.2
